date,boarding_count,alighting_count,passenger_count,service_number,bus_stop_id
2022/08/03,5,0,13,5,3
2022/08/03,10,0,23,5,4
2022/08/03,0,13,10,5,5
2022/08/03,1,0,1,6,1
2022/08/03,1,0,2,6,2
2022/08/03,3,0,5,6,3
2022/08/03,3,0,8,6,4
2022/08/03,0,8,0,6,5
2022/08/03,0,0,0,7,1
2022/08/03,1,0,1,7,2
2022/08/03,0,0,1,7,3
2022/08/03,5,0,6,7,4
2022/08/03,0,5,1,7,5
2022/08/03,1,0,1,8,1
2022/08/03,6,0,7,8,2
2022/08/03,1,0,8,8,3
2022/08/03,3,0,11,8,4
2022/08/03,0,10,1,8,5
2022/08/03,1,0,1,9,1
2022/08/03,4,0,5,9,2
2022/08/03,3,0,8,9,3
2022/08/03,9,0,17,9,4
2022/08/03,0,15,2,9,5
2022/08/03,0,0,0,10,1
2022/08/03,5,0,5,10,2
2022/08/03,1,0,6,10,3
2022/08/03,13,0,19,10,4
2022/08/03,0,17,2,10,5
2022/08/03,5,0,5,11,1
2022/08/03,3,0,8,11,2
2022/08/03,2,0,10,11,3
2022/08/03,8,0,18,11,4
2022/08/03,0,13,5,11,5
2022/08/03,0,0,0,12,1
2022/08/03,5,0,5,12,2
2022/08/03,4,0,9,12,3
2022/08/03,8,0,17,12,4
2022/08/03,0,12,5,12,5
2022/08/03,1,0,1,13,1
2022/08/03,0,0,1,13,2
2022/08/03,0,0,1,13,3
2022/08/03,2,0,3,13,4
2022/08/03,0,3,0,13,5
2022/08/03,2,0,2,14,1
2022/08/03,1,0,3,14,2
2022/08/03,0,0,3,14,3
2022/08/03,2,0,5,14,4
2022/08/03,0,5,0,14,5
2022/08/03,1,0,1,15,1
2022/08/03,1,0,2,15,2
2022/08/03,0,0,2,15,3
2022/08/03,11,0,13,15,4
2022/08/03,0,12,1,15,5
2022/08/03,3,0,3,16,1
2022/08/03,1,0,3,16,2
2022/08/03,4,0,7,16,3
2022/08/03,6,0,13,16,4
2022/08/03,0,8,5,16,5
2022/08/03,2,0,2,17,1
2022/08/03,3,0,6,17,2
2022/08/03,0,0,6,17,3
2022/08/03,4,1,9,17,4
2022/08/03,0,6,3,17,5
2022/08/03,1,0,1,18,1
2022/08/03,3,0,4,18,2
2022/08/03,0,0,4,18,3
2022/08/03,7,0,11,18,4
2022/08/03,0,10,1,18,5
2022/08/03,0,0,0,19,1
2022/08/03,4,0,4,19,2
2022/08/03,0,0,4,19,3
2022/08/03,6,0,10,19,4
2022/08/03,1,10,1,19,5
2022/08/03,2,0,2,20,1
2022/08/03,1,0,3,20,2
2022/08/03,0,0,3,20,3
2022/08/03,2,0,5,20,4
2022/08/03,0,2,3,20,5
2022/08/03,3,0,3,21,1
2022/08/03,0,0,3,21,2
2022/08/03,2,0,5,21,3
2022/08/03,6,0,11,21,4
2022/08/03,0,6,5,21,5
2022/08/03,0,0,0,22,1
2022/08/03,0,0,0,22,2
2022/08/03,0,0,0,22,3
2022/08/03,3,0,3,22,4
2022/08/03,0,2,1,22,5
2022/08/03,2,0,2,23,1
2022/08/03,0,0,2,23,2
2022/08/03,0,0,2,23,3
2022/08/03,2,0,4,23,4
2022/08/03,0,2,2,23,5
2022/08/03,1,0,1,24,1
2022/08/03,1,0,2,24,2
2022/08/03,0,0,2,24,3
2022/08/03,1,0,3,24,4
2022/08/03,0,2,1,24,5
2022/08/03,0,0,0,25,1
2022/08/03,1,0,1,25,2
2022/08/03,0,0,1,25,3
2022/08/03,0,0,1,25,4
2022/08/03,0,1,0,25,5
2022/08/03,1,0,1,26,1
2022/08/03,0,0,1,26,2
2022/08/03,0,0,1,26,3
2022/08/03,2,0,3,26,4
2022/08/03,0,1,2,26,5
2022/08/04,1,0,1,1,1
2022/08/04,2,0,3,1,2
2022/08/04,1,0,4,1,3
2022/08/04,1,0,5,1,4
2022/08/04,0,4,1,1,5
2022/08/04,0,0,0,2,1
2022/08/04,7,0,7,2,2
2022/08/04,3,0,10,2,3
2022/08/04,1,0,11,2,4
2022/08/04,0,10,1,2,5
2022/08/04,2,0,2,3,1
2022/08/04,8,0,10,3,2
2022/08/04,3,0,13,3,3
2022/08/04,8,0,21,3,4
2022/08/04,0,17,4,3,5
2022/08/04,2,0,2,4,1
2022/08/04,11,0,13,4,2
2022/08/04,7,0,20,4,3
2022/08/04,2,0,22,4,4
2022/08/04,0,17,5,4,5
2022/08/04,3,0,3,5,1
2022/08/04,4,0,7,5,2
2022/08/04,3,0,10,5,3
2022/08/04,7,0,17,5,4
2022/08/04,0,15,2,5,5
2022/08/04,1,0,1,6,1
2022/08/04,9,0,10,6,2
2022/08/04,2,0,12,6,3
2022/08/04,6,0,18,6,4
2022/08/04,0,15,3,6,5
2022/08/04,0,0,0,7,1
2022/08/04,3,0,3,7,2
2022/08/04,0,0,3,7,3
2022/08/04,7,0,10,7,4
2022/08/04,0,8,2,7,5
2022/08/04,4,0,4,8,1
2022/08/04,1,0,5,8,2
2022/08/04,1,0,6,8,3
2022/08/04,4,0,10,8,4
2022/08/04,0,6,4,8,5
2022/08/04,0,0,0,9,1
2022/08/04,3,0,3,9,2
2022/08/04,3,0,6,9,3
2022/08/04,9,0,15,9,4
2022/08/04,0,14,1,9,5
2022/08/04,6,0,6,10,1
2022/08/04,6,0,12,10,2
2022/08/04,2,0,14,10,3
2022/08/04,4,0,18,10,4
2022/08/04,0,8,10,10,5
2022/08/04,1,0,1,11,1
2022/08/04,7,0,8,11,2
2022/08/04,0,0,8,11,3
2022/08/04,8,0,16,11,4
2022/08/04,0,11,5,11,5
2022/08/04,0,0,0,12,1
2022/08/04,3,0,3,12,2
2022/08/04,1,0,4,12,3
2022/08/04,2,0,6,12,4
2022/08/04,1,8,-1,12,5
2022/08/04,1,0,1,13,1
2022/08/04,0,0,1,13,2
2022/08/04,1,0,2,13,3
2022/08/04,11,0,13,13,4
2022/08/04,0,8,5,13,5
2022/08/04,1,0,1,14,1
2022/08/04,2,0,3,14,2
2022/08/04,0,0,3,14,3
2022/08/04,3,0,6,14,4
2022/08/04,0,3,3,14,5
2022/08/04,2,0,2,15,1
2022/08/04,4,0,6,15,2
2022/08/04,1,0,7,15,3
2022/08/04,4,0,11,15,4
2022/08/04,0,10,1,15,5
2022/08/04,0,0,0,16,1
2022/08/04,5,0,5,16,2
2022/08/04,0,0,5,16,3
2022/08/04,6,1,10,16,4
2022/08/04,0,7,3,16,5
2022/08/04,4,0,4,17,1
2022/08/04,0,0,4,17,2
2022/08/04,0,0,4,17,3
2022/08/04,7,0,11,17,4
2022/08/04,1,6,6,17,5
2022/08/04,1,0,1,18,1
2022/08/04,1,0,2,18,2
2022/08/04,0,0,2,18,3
2022/08/04,5,0,7,18,4
2022/08/04,0,7,0,18,5
2022/08/04,2,0,2,19,1
2022/08/04,1,0,3,19,2
2022/08/04,1,0,4,19,3
2022/08/04,9,0,13,19,4
2022/08/04,0,11,2,19,5
2022/08/04,1,0,1,20,1
2022/08/04,1,0,2,20,2
2022/08/04,0,0,2,20,3
2022/08/04,3,0,5,20,4
2022/08/04,0,2,3,20,5
2022/08/04,1,0,1,21,1
2022/08/04,2,0,3,21,2
2022/08/04,0,0,3,21,3
2022/08/04,1,0,4,21,4
2022/08/04,0,2,2,21,5
2022/08/04,0,0,0,22,1
2022/08/04,1,0,1,22,2
2022/08/04,0,0,1,22,3
2022/08/04,0,0,1,22,4
2022/08/04,0,1,0,22,5
2022/08/04,2,0,2,23,1
2022/08/04,1,0,3,23,2
2022/08/04,0,0,3,23,3
2022/08/04,2,0,5,23,4
2022/08/04,0,3,2,23,5
2022/08/04,2,0,2,24,1
2022/08/04,0,0,2,24,2
2022/08/04,0,0,2,24,3
2022/08/04,1,0,3,24,4
2022/08/04,0,1,2,24,5
2022/08/04,0,0,0,25,1
2022/08/04,1,0,1,25,2
2022/08/04,0,0,1,25,3
2022/08/04,1,0,2,25,4
2022/08/04,0,2,0,25,5
2022/08/04,4,0,4,26,1
2022/08/04,0,0,4,26,2
2022/08/04,0,0,4,26,3
2022/08/04,0,0,4,26,4
2022/08/04,0,0,4,26,5
2022/08/05,2,0,2,1,1
2022/08/05,1,0,3,1,2
